"mz","rt","into"
200.1,2928.61,147887.526
201.064,2531.112,204572.423
205,2784.635,1778568.944
205.982,2786.2,237993.621
207.082,2712.647,380873.049
208.067,2640.659,96070.716
208.12,2711.082,67967.102
219.085,2518.593,235544.923
229.1,2515.463,87236.081
233.039,3019.378,399145.34
234.028,3019.378,76880.865
235.05,2712.647,171995.219
236.096,2518.593,252282.035
237.116,2517.028,77425.771
240.2,3678.223,112440.555
241.146,3662.574,1465988.671
242.143,3664.138,280767.61
244.1,2828.453,612169.852
245.1,2831.583,110299.925
246.2,2506.073,27932.12
249.159,3659.444,1435000.72
250.118,3657.879,347794.775
253.222,3069.456,114552.582
255.162,3662.574,1420043.192
256.155,3438.785,229192.802
256.126,3662.574,307708.367
257.131,3642.229,188817.16
265.085,2609.36,270751.876
266.075,2828.453,113219.036
266.175,3659.444,379553.6
267.158,3659.444,1463921.08
268.15,3659.444,306981.484
269.157,3859.758,666924.549
270.177,3859.758,130223.45
272.131,3119.535,332583.558
272.12,2734.556,224307.755
273.92,2637.529,64989.755
278.275,3189.958,42563.17
279.007,2786.2,16540436.174
280.017,2786.2,2942032.958
281.036,2786.2,403697.764
281.2,3657.879,2772936.699
282.165,3657.879,695800.819
282.2,3459.13,745727.155
283.188,3859.758,414367.555
283.167,3645.359,634718.215
284.1,2712.647,733321.817
284.2,3679.788,715122.055
286.176,3250.991,1557473.4
287.16,3250.991,381592.923
288,2515.463,74603.7
288.114,2792.459,233984.234
289.049,2712.647,331377.605
289.127,3108.58,306747.825
296.098,2723.601,136683.813
298.15,3179.003,180780.817
299.1,3642.229,98958.823
300.199,3379.317,4534353.623
301,2786.2,2739847.255
301.195,3379.317,962353.43
302,2617.185,643996.186
302,2786.2,494305.841
302.143,3379.317,117048.673
304.1,2923.916,1948205.599
305.1,3496.688,557848.321
305.107,2922.351,994373.818
306.12,2922.351,215368.057
306.111,3496.688,125473.854
306.97,2617.185,349067.118
308.113,3250.991,312927.856
309.1,2923.916,820897.837
