"mz","rt","into"
200.1,2919.221,69198.222
205,2787.764,1275312.758
206,2787.764,186850.878
207.069,2715.777,220972.352
231.081,2520.157,240261.212
233.051,3017.813,181901.317
236.068,2518.592,90012.643
240.179,3676.658,187062.973
241.123,3675.093,805533.2
242.143,3675.093,139748.3
249.162,3662.573,747969.405
250.129,3662.573,149872.756
255.167,3675.093,875296.292
256.124,3675.093,180384.486
257.131,3654.749,145974.265
264.143,3146.139,169945.459
266.19,3662.573,292310.404
267.169,3662.573,728041.894
268.207,3881.667,191819.343
269.2,3880.102,620319.011
270.177,3880.102,131648.489
279.033,2787.764,10705576.326
280.017,2787.764,1865185.365
281.091,2789.329,266741.438
281.2,3661.009,1798533.401
282.195,3661.009,400417.095
282.184,3462.259,419170.93
283.2,3880.102,671217.808
284.109,2717.342,577530.18
286.2,3254.121,1203023.555
287.15,3254.121,302366.611
288.188,2794.024,395495.064
289.154,3107.015,166132.575
296.105,2725.166,126363.645
300.2,3387.142,634108.849
301,2789.329,1250314.071
302.003,2620.314,327247.192
304.142,2920.786,1313723.882
305.128,3498.253,708628.754
305.103,2922.35,859584.524
306.125,3498.253,154863.772
306.143,2923.915,186105.96
308.11,3254.121,121584.975
309.1,2919.221,323317.105
309.185,3664.138,223811.974
312.1,2995.903,149743.806
313.002,2784.635,4134979.779
313.179,3285.42,564428.002
314.029,2784.635,925856.843
315,2524.852,2914424.79
316.022,2524.852,636243.2
316.148,3081.976,198404.027
318.112,3243.166,98147.554
319.151,3690.743,127794.928
321.154,3659.444,200103.61
322.164,3498.253,1351949.246
323.194,3498.253,313828.285
324.094,2787.764,224206.886
326.2,3409.051,200939.74
327.115,3496.688,248423.976
328.2,3628.144,412858.155
329.114,3493.558,227057.789
330.2,3490.429,65765.348
331.185,3493.558,414769.746
332,2523.287,4752615.703
333.008,2523.287,947074.128
334.028,2524.852,203024.939
335,2784.635,591752.315
336.013,2784.635,144038.598
336.166,3690.743,220986.218
337,2523.287,2645818.716
338,2523.287,557510.146
338.1,3017.813,214432.218
338.2,3662.573,342120.33
339.2,3315.154,2476099.248
343.009,2682.913,13440374.572
343.1,2590.58,300731.616
344.003,2682.913,2910182.546
344.157,2917.656,623623.088
345.043,2684.478,458777.105
345.2,2911.396,104823.918
346.152,3493.558,751993.204
347.158,3493.558,207879.784
