"mz","rt","into"
205,2787.764,1039129.818
205.983,2787.764,150107.31
207.044,2715.776,219287.968
231.033,2535.807,286232.146
233.016,3016.247,198416.547
240.165,3673.528,170641.492
241.116,3671.963,632037.425
242.142,3675.093,109019.428
249.104,3661.008,641881.756
250.12,3661.008,126623.762
254.102,3222.821,127186.81
255.112,3670.398,673816.219
257.125,3650.054,131171.36
264.129,3144.574,188573.028
266.186,3661.008,245240.897
267.127,3661.008,603390.134
268.16,3876.972,152727.237
269.116,3878.537,436101.188
270.2,3875.407,74064.126
279.019,2787.764,9660238.214
280.013,2786.199,1711820.032
280.128,3310.459,212071.392
281,2797.154,113534.49
281.19,3661.008,1521876.399
282.17,3460.694,949999.735
283.2,3876.972,485863.613
284.1,2717.341,550520.829
284.2,3642.229,177969.805
286.13,3252.555,1084076.859
288.138,2792.459,286756.261
289.146,3105.45,206526.452
294.123,2578.061,57688.547
296.104,2723.601,134822.007
298.152,3177.438,190626.85
300.171,3384.012,4564262.897
301,2787.764,1185809.878
301.186,3384.012,946943.393
302.003,2618.749,385833.771
304.1,2919.22,1045968.567
305.1,3496.688,748182.725
305.1,2922.35,1096130.206
306.098,3496.688,159274.083
306.1,2923.915,247480.005
308.144,3252.555,237549.177
309.088,2919.22,258387.33
312.086,2992.773,158153.847
313,2784.634,1642799.372
313.149,3283.855,530671.415
314.013,2784.634,390983.008
315,2540.502,5071743.224
316,2540.502,1097369.932
318.114,3240.036,127139.668
319.115,3689.177,123382.015
321.2,3659.443,38719.581
322.146,3496.688,1324834.364
322.121,3385.576,273593.949
323.15,3496.688,307340.014
324.139,3268.205,162564.375
326.2,3409.051,2819100.93
327.1,3496.688,263114.601
327.168,3409.051,677091.267
328.2,3626.579,3085430.381
329.114,3491.993,291867.379
329.2,3626.579,707798.716
330.161,3626.579,105447.719
331.118,3491.993,372786.981
332,2540.502,7614619.505
333,2540.502,1587224.131
334.035,2540.502,345968.558
335,2784.634,255464.745
336.152,3689.177,209776.5
336.997,2540.502,4153687.178
338,2540.502,868056.232
338.1,3016.247,212310.15
338.194,3830.023,154551.072
338.204,3661.008,335737.549
339.181,3313.589,2482697.105
343,2681.347,15378115.294
344,2681.347,3374426.072
344.142,2897.311,621011.554
345.012,2681.347,508404.36
346.1,3490.428,952137.453
347.109,3491.993,247355.581
348.143,3490.428,187851.587
348.11,3405.921,192504.5
348.163,3279.16,134637.117
350.2,3626.579,181736.72
352.929,2542.067,557009.513
353.145,3490.428,124798.503
354.2,3610.93,532867.709
355.2,3615.625,126090.44
356.2,3830.023,932580.306
357.154,3462.259,189441.574
357.2,3831.588,254805.159
358.9,2925.48,2535026.049
359.2,3718.912,285184.521
359.826,2912.961,3613079.709
360,2687.607,8702183.131
360.82,2911.396,3456162.659
361,2684.477,2322160.139
361.133,3160.223,737098.286
361.9,2917.655,1020656.767
362.02,2684.477,632941.446
362.9,2911.396,232424.518
363.133,3254.12,189293.222
365,2682.912,7176350.082
365.159,3390.271,208369.266
366,2682.912,1546876.715
366.1,2789.329,818030.943
